segment,timestamp_ms,latitude,longitude,altitude,speed,heading,fix_quality,satellites,hdop
0,1774574095046,-33.26764160,138.58131258,422.29,0.019,14.19,GPS,33,0.41999998688697815
0,1774574096023,-33.26764132,138.58131298,422.25,0.013,14.19,GPS,33,0.4099999964237213
0,1774574097047,-33.26764145,138.58131285,422.21,0.016,14.19,GPS,33,0.4099999964237213
0,1774574098021,-33.26763982,138.58131320,422.23,0.011,14.19,GPS,33,0.41999998688697815
0,1774574099044,-33.26763303,138.58131523,422.25,0.306,14.67,GPS,33,0.41999998688697815
0,1774574100023,-33.26761937,138.58131903,422.26,1.151,14.19,GPS,33,0.4300000071525574
0,1774574101046,-33.26760038,138.58132527,422.27,1.917,13.45,GPS,33,0.4399999976158142
0,1774574102054,-33.26757950,138.58133182,422.29,2.341,16.67,GPS,35,0.4099999964237213
0,1774574103054,-33.26755593,138.58133868,422.30,2.475,14.57,GPS,35,0.4000000059604645
0,1774574104024,-33.26753180,138.58134635,422.27,2.859,13.87,GPS,35,0.4399999976158142
0,1774574105051,-33.26750668,138.58135455,422.23,2.705,14.86,GPS,35,0.38999998569488525
0,1774574106028,-33.26747872,138.58136348,422.10,3.001,14.69,GPS,35,0.4399999976158142
0,1774574107052,-33.26744648,138.58137382,422.07,3.434,14.71,GPS,35,0.38999998569488525
0,1774574108026,-33.26741182,138.58138453,421.96,3.831,13.92,GPS,35,0.4300000071525574
0,1774574109059,-33.26737552,138.58139572,421.85,4.087,14.38,GPS,35,0.44999998807907104
0,1774574110062,-33.26733772,138.58140780,421.83,4.227,13.98,GPS,37,0.4000000059604645
0,1774574111052,-33.26729977,138.58141977,421.73,4.336,14.84,GPS,36,0.4300000071525574
0,1774574112019,-33.26726103,138.58143212,421.74,4.350,14.14,GPS,36,0.4000000059604645
0,1774574113046,-33.26722243,138.58144440,421.75,4.426,14.97,GPS,36,0.4300000071525574
0,1774574114017,-33.26718327,138.58145628,421.65,4.430,15.10,GPS,36,0.41999998688697815
0,1774574115051,-33.26714377,138.58146770,421.52,4.499,13.38,GPS,36,0.44999998807907104
0,1774574116046,-33.26710433,138.58147928,421.36,4.513,13.21,GPS,37,0.46000000834465027
0,1774574117045,-33.26706485,138.58149140,421.26,4.510,13.75,GPS,37,0.4300000071525574
0,1774574118032,-33.26702483,138.58150410,421.37,4.516,13.94,GPS,37,0.38999998569488525
0,1774574119058,-33.26698510,138.58151585,421.29,4.525,15.05,GPS,40,0.4099999964237213
0,1774574120026,-33.26694490,138.58152732,421.25,4.554,12.66,GPS,40,0.4000000059604645
0,1774574121059,-33.26690465,138.58153902,421.17,4.582,13.02,GPS,40,0.41999998688697815
0,1774574122026,-33.26686410,138.58155122,421.11,4.591,13.62,GPS,40,0.4099999964237213
