segment,timestamp_ms,latitude,longitude,altitude,speed,heading,fix_quality,satellites,hdop
0,1774497045202,-33.27377653,138.58889368,414.72,8.702,245.32,GPS,41,0.41999998688697815
0,1774497046201,-33.27380932,138.58880852,414.82,8.688,245.70,GPS,42,0.4300000071525574
0,1774497047199,-33.27384153,138.58872268,414.74,8.698,245.87,GPS,42,0.46000000834465027
0,1774497048164,-33.27387320,138.58863615,414.68,8.744,246.39,GPS,42,0.4699999988079071
0,1774497049194,-33.27390420,138.58854922,414.62,8.764,246.96,GPS,42,0.47999998927116394
0,1774497050164,-33.27393555,138.58846222,414.56,8.764,247.40,GPS,42,0.4300000071525574
0,1774497051195,-33.27396723,138.58837595,414.55,8.760,246.67,GPS,42,0.4099999964237213
0,1774497052166,-33.27399933,138.58828970,414.50,8.745,246.60,GPS,42,0.41999998688697815
0,1774497053197,-33.27403087,138.58820337,414.48,8.754,246.73,GPS,42,0.44999998807907104
0,1774497054163,-33.27406250,138.58811678,414.48,8.758,246.82,GPS,42,0.46000000834465027
0,1774497055194,-33.27409485,138.58803050,414.52,8.783,246.29,GPS,42,0.41999998688697815
1,1774497692177,-33.27406633,138.58802782,413.42,10.237,65.92,GPS,47,0.4099999964237213
1,1774497693226,-33.27402675,138.58813173,413.37,10.520,65.73,GPS,47,0.4300000071525574
1,1774497694179,-33.27398600,138.58823857,413.35,10.841,65.67,GPS,47,0.4099999964237213
1,1774497695223,-33.27394390,138.58834883,413.31,11.200,65.68,GPS,47,0.4099999964237213
1,1774497696187,-33.27390145,138.58846237,413.52,11.522,65.75,GPS,47,0.3400000035762787
1,1774497697221,-33.27385770,138.58857993,413.56,11.854,66.20,GPS,47,0.41999998688697815
1,1774497698185,-33.27381302,138.58869963,413.56,12.179,66.31,GPS,47,0.4000000059604645
1,1774497699227,-33.27376768,138.58882028,413.57,12.342,66.11,GPS,47,0.4099999964237213
1,1774497700198,-33.27372138,138.58894280,413.55,12.467,65.95,GPS,47,0.4399999976158142
1,1774497701229,-33.27367457,138.58906632,413.53,12.617,65.75,GPS,47,0.4099999964237213
1,1774497702178,-33.27362727,138.58919083,413.55,12.729,65.88,GPS,47,0.4399999976158142
